player_name,matches,innings,total_runs,balls_faced,batting_average,strike_rate,fours,sixes,highest_score,centuries,fifties,balls_bowled,runs_conceded,wickets,bowling_average,economy_rate,bowling_strike_rate,four_wicket_hauls,five_wicket_hauls
A Ashish Reddy,23.0,2.0,280.0,196.0,18.666666666666668,142.85714285714286,16.0,15.0,36.0,0.0,0.0,270.0,386.0,19.0,20.31578947368421,8.577777777777778,14.210526315789474,0.0,0.0
A Badoni,35.0,2.0,634.0,505.0,24.384615384615383,125.54455445544555,46.0,24.0,59.0,0.0,4.0,25.0,36.0,2.0,18.0,8.639999999999999,12.5,0.0,0.0
A Chandila,2.0,1.0,4.0,7.0,0.0,57.14285714285714,0.0,0.0,4.0,0.0,0.0,234.0,242.0,11.0,22.0,6.205128205128205,21.272727272727273,1.0,0.0
A Chopra,6.0,2.0,53.0,75.0,8.833333333333334,70.66666666666667,7.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Choudhary,3.0,2.0,25.0,20.0,25.0,125.0,1.0,1.0,15.0,0.0,0.0,108.0,137.0,5.0,27.4,7.611111111111111,21.6,0.0,0.0
A Dananjaya,1.0,1.0,4.0,5.0,0.0,80.0,0.0,0.0,4.0,0.0,0.0,25.0,46.0,0.0,0.0,11.04,0.0,0.0,0.0
A Flintoff,3.0,2.0,62.0,57.0,31.0,108.77192982456141,5.0,2.0,24.0,0.0,0.0,66.0,105.0,2.0,52.5,9.545454545454545,33.0,0.0,0.0
A Kamboj,1.0,1.0,2.0,2.0,0.0,100.0,0.0,0.0,2.0,0.0,0.0,68.0,106.0,2.0,53.0,9.352941176470587,34.0,0.0,0.0
A Kumble,15.0,2.0,35.0,49.0,11.666666666666666,71.42857142857143,3.0,0.0,8.0,0.0,0.0,983.0,1027.0,49.0,20.959183673469386,6.268565615462869,20.06122448979592,2.0,2.0
A Manohar,15.0,2.0,231.0,181.0,16.5,127.62430939226519,21.0,10.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mishra,55.0,2.0,381.0,440.0,11.90625,86.5909090909091,31.0,5.0,31.0,0.0,0.0,3444.0,4065.0,183.0,22.21311475409836,7.081881533101045,18.81967213114754,5.0,1.0
